Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zoETs17V8PJkeGmB0Iagw,"TINFOIL","LIVING THINGS","Linkin Park",2012-06-19,71893,47,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.519,0.557,5,-15.587,0,0.0356,0.617,0.929,0.235,0.734,140.003,4
spotify:track:4zNk347FJz4yDDcjUhJJMI,"POWERLESS","LIVING THINGS","Linkin Park",2012-06-19,224466,59,false,droebiepoe,2026-02-16T09:45:46Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.508,0.88,5,-6.441,0,0.0448,0.0621,0.0000943,0.15,0.337,140.065,1
spotify:track:2cZXlLwkRmDww37tbEygXl,"Keys to the Kingdom","The Hunting Party","Linkin Park",2014-06-09,218546,51,true,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.395,0.976,7,-4.553,1,0.137,0.00735,0.000222,0.379,0.334,184.011,4
spotify:track:5Rcs3fREgibWujLUlUb8KA,"All for Nothing (feat. Page Hamilton)","The Hunting Party","Linkin Park;Page Hamilton",2014-06-09,213653,52,true,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal,big beat","Warner Records",0.461,0.958,4,-3.852,0,0.124,0.000203,0.00000933,0.459,0.264,159.974,4
spotify:track:6L5QMBrydoaapTDMQ0Anui,"Guilty All the Same (feat. Rakim)","The Hunting Party","Linkin Park;Rakim",2014-06-09,355120,58,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal,east coast hip hop,old school hip hop,hip hop","Warner Records",0.566,0.969,2,-3.369,0,0.046,0.0287,0.000442,0.281,0.641,100.012,4
spotify:track:7wHW68IXAO0vlhXv1PxKFJ,"The Summoning","The Hunting Party","Linkin Park",2014-06-09,60440,46,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.294,0.926,9,-8.833,0,0.769,0.914,0.0992,0.713,0.0397,143.747,3
spotify:track:3h5gMWp1KJQkLBgCtG5EgH,"War","The Hunting Party","Linkin Park",2014-06-09,131160,49,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.371,0.991,0,-3.237,1,0.254,0.00748,0.651,0.929,0.0757,142.309,4
spotify:track:3S8MFB68isPbRVgaU0MaIW,"Wastelands","The Hunting Party","Linkin Park",2014-06-09,195893,53,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.44,0.993,2,-3.481,0,0.184,0.0104,0,0.964,0.614,169.77,4
spotify:track:2n1jBz26dVBtSbMvJNjGsu,"Until It's Gone","The Hunting Party","Linkin Park",2014-06-09,233240,58,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.47,0.878,4,-3.391,0,0.0429,0.0172,0.054,0.235,0.322,114.986,4
spotify:track:3zZ009FB8sc8JghwVrbLFq,"Rebellion (feat. Daron Malakian)","The Hunting Party","Linkin Park;Daron Malakian",2014-06-09,224160,52,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.508,0.971,8,-3.027,1,0.0788,0.00145,0,0.62,0.325,130.023,4
spotify:track:16AFbRYIdpesOleGTKClHs,"Mark the Graves","The Hunting Party","Linkin Park",2014-06-09,305013,46,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.442,0.925,9,-3.781,1,0.0648,0.00195,0.496,0.0851,0.196,134.94,4
spotify:track:7MTDaY5oGjo4F8N5r7H8LT,"Drawbar (feat. Tom Morello)","The Hunting Party","Linkin Park;Tom Morello",2014-06-09,166933,43,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.389,0.532,4,-10.796,0,0.028,0.749,0.923,0.108,0.0637,68.462,4
spotify:track:3aYBjxTMvrEOP0A0UXg9ER,"Final Masquerade","The Hunting Party","Linkin Park",2014-06-09,217613,69,false,droebiepoe,2026-02-16T09:45:53Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.466,0.852,3,-4.487,1,0.0585,0.00774,0.0000026,0.0989,0.428,164.032,4
