TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
171.797333333,-144.297,0.264422,4.7053,2.73763,0.428792,1.57119,-4.31392,3.72219,-3.05251,-1.98299,0.138952,-0.895833,0.948871,-0.444468,2.39139,0.327399,0.377502,1.9798,1.46399,1.75975,-0.717417
171.818666667,-154.746,9.7374,-0.0230706,-1.25273,5.97905,-1.40438,-3.71468,0.13195,-1.57104,-2.09636,0.750617,-0.642442,2.9712,4.13447,1.3095,1.27275,2.63919,2.40671,0.828328,0.164781,-0.291402
171.840000000,-150.639,8.92285,-0.274154,1.93432,4.43372,1.5725,-2.63526,-1.89988,-2.633,-0.242222,2.22534,3.09144,3.75241,2.91846,2.38897,2.64506,-0.945071,2.66167,4.81165,1.03096,-0.638718
171.861333333,-132.848,7.09675,5.87387,4.75293,4.59218,1.74589,-1.93923,-0.0986737,-2.18768,-2.84552,0.232243,-2.4002,3.09779,-2.07418,-3.80854,-1.7998,-0.967073,-0.0720522,0.176008,-0.927374,-1.30906
171.882666667,-131.936,-0.477036,0.824199,6.2027,7.17269,1.14207,-1.03558,-3.80345,-1.61929,-2.94621,-1.72427,-0.762951,1.8717,1.31271,1.50888,1.45867,-0.809918,1.35337,-0.0972502,0.687351,1.23931
171.904000000,-130.652,-0.395101,-0.520418,4.75281,2.82783,0.744018,-1.47762,0.0919978,2.79904,-3.39952,0.00081212,-1.80307,-0.9428,-0.235386,1.64847,0.201626,-2.11422,1.14727,1.79065,2.55364,2.54992
171.925333333,-130.573,-6.18348,1.69505,8.93743,-3.50842,2.17235,-0.022023,-2.36456,0.755381,1.09075,2.76147,1.83828,1.26609,0.826811,2.09719,1.79239,-0.458067,1.10692,0.976242,2.6344,1.47251
171.946666667,-133.135,-7.02994,4.08923,11.7354,-2.04207,1.77136,-0.290556,-0.0586262,1.4409,3.1567,0.194713,-1.86975,0.498668,2.41977,2.40272,1.48998,-1.15951,0.102191,0.0563189,-0.0348494,1.27421
171.968000000,-135.468,-9.02492,0.937855,6.95793,-0.480846,5.27284,2.78817,-2.30454,-0.199223,0.639399,0.0465008,2.31374,1.94014,2.8115,3.75591,3.72917,1.12411,1.09941,3.32558,1.93195,-0.935234
171.989333333,-137.891,-8.59851,1.65481,12.907,0.23907,1.8096,2.15686,-0.0417749,0.583107,0.530463,-1.86959,3.122,4.80575,3.06021,1.88339,0.249587,-1.82452,-0.482795,0.65035,0.608913,0.770815
172.010666667,-132.639,-4.74282,-1.96248,10.5703,-1.01803,3.2223,4.1414,-0.172103,0.216912,2.81442,-0.845728,0.965369,3.73033,2.27519,3.4731,0.90221,-1.32225,0.190449,1.82189,1.13819,-0.02409
172.032000000,-136.769,-2.3,-0.968947,11.7932,1.09885,0.649855,1.50609,1.0231,2.47424,1.67099,-1.80485,-1.31292,1.63269,3.13349,2.26209,1.80155,-0.452209,1.76385,0.375857,2.30651,1.19744
172.053333333,-144.74,3.79653,-2.97295,6.07241,3.8197,-0.102269,-2.64018,-1.40709,-0.704518,0.0248253,-2.26823,1.0483,5.61944,3.04243,6.4165,5.68542,1.77822,5.47949,2.91856,0.999295,-0.532771
172.074666667,-146.938,10.532,-0.367727,1.65461,6.63905,-1.21948,0.118323,0.410811,-1.22305,0.431137,0.554161,-0.394374,1.0485,3.37584,5.67644,2.31248,-1.40232,3.76912,2.26659,1.47939,-0.833579
172.096000000,-142.194,10.111,-2.33169,2.53394,8.78244,-0.832021,-6.0275,0.668751,0.215075,2.2667,2.54125,-0.895303,2.14254,1.07374,3.06371,1.17986,-1.62312,0.446787,1.42136,2.48079,1.14532
172.117333333,-145.287,7.04584,-4.50311,-0.873507,7.49777,4.35523,-1.42765,-0.436287,1.3556,1.23675,2.50654,2.03849,0.34963,0.971175,0.556644,3.36027,-0.161094,-0.840119,-1.26822,0.809968,0.946136
172.138666667,-146.731,9.35892,-0.161469,-3.00185,1.41875,1.80841,1.47972,3.09771,1.09457,-0.235412,4.35104,2.74625,-0.0620617,-3.79715,1.15473,3.9468,1.26453,-1.55654,1.40837,3.03857,0.847785
172.160000000,-142.69,8.07611,-3.83658,-3.16401,3.55531,0.625261,-0.655779,2.98335,1.98379,1.81007,3.96761,2.24419,-0.689416,-2.61098,-0.624812,0.301101,1.17557,0.6402,0.0326698,3.32976,3.39152
172.181333333,-129.561,1.91697,-2.14582,0.775624,0.517112,-0.752341,-0.899917,1.82155,1.92843,3.16276,2.92079,2.12428,0.0722033,0.717745,-0.579319,-1.10928,-0.0435324,1.44849,-0.766739,0.704761,-0.415058
172.202666667,-137.948,7.22577,-1.843,3.12667,3.64512,-0.0412521,-1.05224,3.45646,5.80868,4.81161,3.7522,1.19315,2.90952,-2.19274,3.20831,-0.75877,-1.4158,1.26782,0.292298,2.94138,1.10121
172.224000000,-144.442,8.43338,-3.56845,7.23432,3.37403,2.83052,-0.743338,1.59557,3.97608,6.95846,5.34708,0.0314737,-0.0408182,-0.687507,2.70906,3.96748,0.89536,3.37985,3.72976,3.51722,1.62542
172.245333333,-143.711,5.95326,-3.38602,5.55953,0.0508608,-0.667744,-1.27521,4.52869,5.271,4.4624,5.50915,2.72564,2.51254,0.166449,-0.443298,-0.163218,0.610831,1.35454,-2.63772,2.35555,2.37972
172.266666667,-141.717,7.63998,-6.69672,2.4967,0.534439,3.17176,2.37653,4.92409,2.95464,4.91771,3.9488,2.25897,1.32784,-0.521241,2.27015,0.610894,-0.667359,-1.5499,-3.17085,-0.190624,0.599042
172.288000000,-141.607,7.58723,-5.63788,3.37197,2.20488,5.03901,-2.628,3.16248,2.80346,5.03478,6.42894,1.25228,-1.23226,-0.892324,-0.164005,0.611213,-0.836969,0.305236,-1.15387,2.42127,1.57309
172.309333333,-144.155,7.4034,-5.92826,5.91977,1.36523,2.50234,0.914935,3.99776,2.65386,4.83269,6.20787,3.70761,2.30013,-2.9951,-0.912687,0.825157,0.245297,1.87766,2.26107,2.69766,2.17769
172.330666667,-145.764,6.14109,-6.47872,2.63699,1.64705,5.73425,-1.46633,2.39506,3.61509,5.96524,4.47418,3.55524,0.661273,-2.70053,-2.23993,-0.359483,0.111006,3.24403,2.38923,3.57876,3.38026
172.352000000,-147.034,8.59884,-4.23941,3.55725,0.591951,2.11977,-3.05966,3.23791,3.71706,6.964,7.99137,4.67489,2.75294,-1.98879,-2.2195,-1.43293,-2.47654,1.32479,-1.57707,1.85317,-0.551519
