TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
116.266666667,2.31685,0.273299,0.230514,0.606071,0.196539,0.743382,0.0912002,0.606447,0.426763,0.454953,0.235761,0.220052
116.309333333,2.88343,0.0968855,0.630244,0.423502,0.139589,0.684391,0.470407,0.48903,0.267328,0.440115,0.16205,0.0357354
116.352000000,3.05704,0.00686785,0.905528,0.209191,0.233758,0.506689,0.635101,0.489986,0.153285,0.382517,0.273965,0.106667
116.394666667,3.09669,0.00149009,0.774234,0.0839432,0.32811,0.614156,0.528411,0.786312,0.19927,0.0629568,0.243015,0.0747434
116.437333333,3.15883,0.0686757,0.395501,0.19502,0.530883,0.504401,0.31605,0.996004,0.0434379,0.00113737,0.32628,0.137707
116.480000000,3.161,0.243459,0.143522,0,0.639822,0.559333,0.261267,0.998236,0.0388638,0.000681987,0.570205,0.047107
116.522666667,3.1156,0.342499,0.611372,0,0.517357,0.53223,0.178935,0.460956,0.0652326,0.00193749,0.543968,0.127891
116.565333333,3.01008,0.0886364,0.695883,0.517202,0.264777,0.311468,0.143675,0.216495,0.153193,0.168258,0.364578,0.103006
116.608000000,3.14659,0.0427255,0.618101,0.94788,0.218699,0.110413,0.0824711,0.304416,0.02152,0.592942,0.290314,0.0690975
116.650666667,3.21039,0.0141682,0.660451,0.882762,0.394724,0.131399,0.106404,0.38689,0,0.680358,0.416163,0.0946158
116.693333333,3.08702,0.0496982,0.425217,0.206951,0.46108,0.309462,0.225878,0.358023,0.109597,0.548485,0.686869,0.0235305
116.736000000,2.77071,0.217787,0.572197,0.829078,0.561509,0.464248,0.315169,0.560962,0.109298,0.0947006,0.273699,0
116.778666667,2.55128,0.227604,0.56558,0.800653,0.781647,0.516937,0.0765754,0.534523,0.18127,0.0235662,0.33522,0
116.821333333,2.73798,0.128026,0.443585,0.660546,0.925945,0.817412,0.00703104,0.471933,0.378008,0.00286062,0.445983,0
116.864000000,3.01115,0.0138587,0.297985,0.400193,1.17023,0.444864,0.020367,0.395466,0.635281,0.00259527,0.579389,0
116.906666667,3.14514,0.282659,0.205829,0,1.33536,0.286781,0.0180234,0.354755,0.713689,0.00170878,0.636314,0.191327
116.949333333,3.288,0.199893,0.105592,0.538908,1.00856,0.171467,0.100226,0.608097,0.72628,0.042218,0.526556,0.0976599
116.992000000,3.19251,0.282955,0.106672,0.687438,0.156605,0.015251,0.378943,1.15469,0.372747,0.114077,0.546415,0
117.034666667,2.93886,0.00270921,0.889417,0.209831,0.104497,0.178356,0.331711,1.26152,0.0583385,0.12776,0.464748,0.0118437
117.077333333,3.12871,0.00900578,0.69776,0.0805701,0.3774,0.0050674,0.294751,1.07168,0.0900474,0.306952,0.519866,0.0116412
117.120000000,3.09018,0.0191369,0.390111,0.0310256,0.489985,0.0105817,0.420356,1.01691,0.107806,0.174115,1.09688,0.0144651
117.162666667,3.08748,0.0741871,0.038245,0.327905,0.589012,0.0198814,0.213687,0.902241,0.0581078,0.11476,1.31117,0.0495307
117.205333333,2.75855,0.354751,0.11051,0.858742,0.411907,0.203167,0.111327,0.587479,0.252031,0.00268839,1.20935,0.312986
117.248000000,1.91488,0.733246,0.149702,0.777283,0.552859,0.233682,0.303488,0.490307,0.48218,0.203532,0.857259,0.702506
117.290666667,1.45146,1.19693,0.104567,0.513686,0.699351,0.2416,0.501928,0.567151,0.233732,0.515867,0.619439,0.671142
117.333333333,2.07985,1.32816,0.0255763,0.284759,0.741246,0.0723158,0.516059,0.382997,0.0863079,0.645203,0.984372,0.212181
117.376000000,2.52052,0.999639,0.00428252,0.429158,0.778129,0,0.200265,0.380148,0,0.613035,1.18421,0.0307672
117.418666667,2.77474,0.588592,0.118352,0.581368,0.695906,0.030877,0.406817,0.188846,0.570345,0.0315887,1.04564,0.200737
117.461333333,2.34992,0.121665,0.443443,0.322263,0.677794,0.262683,0.841775,0.0132598,0.930657,0.0346917,0.683686,0.416238
117.504000000,2.1643,0,0.75219,0.00217153,0.62328,0.408534,1.15036,0.00253247,0.962003,0.0564441,0.696992,0.47195
117.546666667,2.10436,0.066558,0.72276,0.00432342,0.573993,0.409403,1.28451,0,0.848356,0.059401,0.74397,0.388303
117.589333333,3.06041,0.503471,0.303455,0.0187528,0.212955,0.0935299,0.651809,0.29672,0.00666002,0.117734,0.545229,0.181105
117.632000000,3.23883,0,0.328552,0.392722,0.103928,0.00949108,0.0887769,0.654242,0.347906,0.492241,1.34407,0
117.674666667,1.68054,0.021284,0.620927,0.334858,0.190559,0.0711208,0.0371767,0.933695,0.383,0.372011,1.60197,0.134787
117.717333333,0.556504,0.0438575,0.640919,0.260032,0.292699,0,0.0644972,1.02773,0.64124,0.206167,1.45475,0.152846
117.760000000,0.285434,0.0259769,0.517952,0.382571,0.912237,0,0.0688132,0.956491,0.866978,0.203125,1.11775,0.206015
117.802666667,0.157,0.00844856,0.199854,0.303696,1.38094,0.201815,0.0774294,1.22843,1.03707,0.25001,0.432628,0.314311
117.845333333,0.110593,0.00203271,0.0534714,0.362115,1.0478,0.496119,0.0796965,1.03854,0.877955,0.562544,0.601553,0.743695
117.888000000,0.242533,0.00312965,0.000306246,0.112884,0.9996,0.63525,0.0951717,0.569626,0.709193,0.923071,0.636566,1.83306
117.930666667,0.78568,0.00351205,0.00266775,0.188773,1.00935,0.433909,0.0989758,0.192982,0.427641,0.922803,0.567837,1.35862
117.973333333,1.90134,0.00350952,0.133795,0.468502,0.672407,0.400303,0.567715,0.0181637,0.0914023,0.704061,0.274789,0.835582
118.016000000,2.96735,0.00153394,0.209639,0.274574,0.393947,0.45188,0.884319,0.273116,0,0.383753,0.0876219,0.465317
118.058666667,3.83485,0.000223075,0.213509,0.0415876,0.0858162,0.338239,0.713817,0.738816,0,0.155361,0.0315677,0.321625
118.101333333,4.32618,0,0.184209,0.0212793,0.494559,0.0156195,0.0408409,1.21921,0.0309105,0.0216018,0.0080702,0.27859
118.144000000,4.37151,0,0.152284,0.297924,0.574612,0,0.0209344,1.24615,0.0115006,0,0.000859065,0.294173
118.186666667,4.26965,0,0.093229,0.14798,0.788292,0.0844516,0.0307438,1.32569,0.00987652,0,0.00876068,0.285814
118.229333333,4.08851,0.000331253,0.109115,0.0129278,1.01987,0.338031,0.143157,1.40709,0.00198619,0.000744847,0.0364604,0.25178
118.272000000,3.94073,0.00158596,0.116136,0.0122146,1.08497,0.431287,0.315778,1.27206,0.0216816,0.0280038,0.0806767,0.0504505
118.314666667,3.54218,0.16155,0.094431,0.0184826,0.928877,0.519888,0.0144798,1.08795,0.0635665,0.116913,0.360925,0.094917
118.357333333,3.6731,0.101569,0.0455947,0.0205344,0.666401,0.506025,0.00721748,1.18624,0.00152028,0.0852158,0.294843,0.189588
